Sample,Cell_no,Cu_conc,Pb_conc,Zn_conc,Location,Metal,Block,Age,Cu_in_nom,Pb_in_nom,Zn_in_nom,Cu_in_meas,Pb_in_meas,Zn_in_meas
DN2-25,25,4,10,2,Drain,No,y,1,4,10,2,4,10,8
DN3-25,25,4,10,2,Drain,No,z,1,4,10,2,4,10,8
IN1-25,25,4,10,2,Inflow,No,x,1,4,10,2,4,10,8
IN2-25,25,4,10,2,Inflow,No,y,1,4,10,2,4,10,8
IN3-25,25,4,10,2,Inflow,No,z,1,4,10,2,4,10,8
DH2-26,26,7,10,203,Drain,High,y,2,80,500,960,72,453,441
DH3-26,26,5,10,66,Drain,High,z,2,80,500,960,72,453,441
DH1-26,26,4,10,2,Drain,High,x,2,80,500,960,72,453,441
IH2-26,26,15,10,2,Inflow,High,y,2,80,500,960,72,453,441
IH1-26,26,9,10,2,Inflow,High,x,2,80,500,960,72,453,441
IH3-26,26,6,10,2,Inflow,High,z,2,80,500,960,72,453,441
DL1-26,26,4,10,2,Drain,Low,x,2,20,100,50,18,78,29
DL2-26,26,4,10,2,Drain,Low,y,2,20,100,50,18,78,29
DL3-26,26,4,10,2,Drain,Low,z,2,20,100,50,18,78,29
IL1-26,26,4,10,2,Inflow,Low,x,2,20,100,50,18,78,29
IL2-26,26,4,10,2,Inflow,Low,y,2,20,100,50,18,78,29
IL3-26,26,4,10,2,Inflow,Low,z,2,20,100,50,18,78,29
DN1-26,26,4,10,2,Drain,No,x,2,4,10,2,4,10,8
DN2-26,26,4,10,2,Drain,No,y,2,4,10,2,4,10,8
DN3-26,26,4,10,2,Drain,No,z,2,4,10,2,4,10,8
IN1-26,26,4,10,2,Inflow,No,x,2,4,10,2,4,10,8
IN2-26,26,4,10,2,Inflow,No,y,2,4,10,2,4,10,8
IN3-26,26,4,10,2,Inflow,No,z,2,4,10,2,4,10,8
IH1-27,27,9,10,41,Inflow,High,x,4,80,500,960,72,453,441
IH3-27,27,4,10,8,Inflow,High,z,4,80,500,960,72,453,441
IH2-27,27,4,10,2,Inflow,High,y,4,80,500,960,72,453,441
IL1-27,27,4,10,2,Inflow,Low,x,4,20,100,50,18,78,29
IL2-27,27,4,10,2,Inflow,Low,y,4,20,100,50,18,78,29
IL3-27,27,4,10,2,Inflow,Low,z,4,20,100,50,18,78,29
IN3-27,27,4,10,2,Inflow,No,z,4,4,10,2,4,10,8
IN1-27,27,4,10,2,Inflow,No,x,4,4,10,2,4,10,8
IN2-27,27,4,10,2,Inflow,No,y,4,4,10,2,4,10,8
IH3-28,28,23,31,566,Inflow,High,z,4,80,500,960,72,453,441
IH2-28,28,4,10,31,Inflow,High,y,4,80,500,960,72,453,441
IH1-28,28,4,10,2,Inflow,High,x,4,80,500,960,72,453,441
IL3-28,28,10,10,16,Inflow,Low,z,4,20,100,50,18,78,29
IL2-28,28,8,10,3,Inflow,Low,y,4,20,100,50,18,78,29
IL1-28,28,6,10,2,Inflow,Low,x,4,20,100,50,18,78,29
IN1-28,28,4,10,2,Inflow,No,x,4,4,10,2,4,10,8
IN2-28,28,4,10,2,Inflow,No,y,4,4,10,2,4,10,8
IN3-28,28,4,10,2,Inflow,No,z,4,4,10,2,4,10,8
IH1-29,29,4,10,32,Inflow,High,x,4,80,500,960,72,453,441
IH2-29,29,4,10,4,Inflow,High,y,4,80,500,960,72,453,441
IH3-29,29,4,10,2,Inflow,High,z,4,80,500,960,72,453,441
IL1-29,29,4,10,2,Inflow,Low,x,4,20,100,50,18,78,29
IL2-29,29,4,10,2,Inflow,Low,y,4,20,100,50,18,78,29
IL3-29,29,4,10,2,Inflow,Low,z,4,20,100,50,18,78,29
IN1-29,29,4,10,2,Inflow,No,x,4,4,10,2,4,10,8
IN2-29,29,4,10,2,Inflow,No,y,4,4,10,2,4,10,8
IN3-29,29,4,10,2,Inflow,No,z,4,4,10,2,4,10,8
DH3-30,30,16,44,359,Drain,High,z,3,80,500,960,72,453,441
DH2-30,30,8,10,6,Drain,High,y,3,80,500,960,72,453,441
DH1-30,30,8,10,47,Drain,High,x,3,80,500,960,72,453,441
IH3-30,30,26,82,361,Inflow,High,z,3,80,500,960,72,453,441
IH2-30,30,25,27,457,Inflow,High,y,3,80,500,960,72,453,441
DL1-30,30,4,10,2,Drain,Low,x,3,20,100,50,18,78,29
DL3-30,30,4,10,2,Drain,Low,z,3,20,100,50,18,78,29
IL2-30,30,12,10,2,Inflow,Low,y,3,20,100,50,18,78,29
IL1-30,30,6,10,2,Inflow,Low,x,3,20,100,50,18,78,29
IL3-30,30,4,10,2,Inflow,Low,z,3,20,100,50,18,78,29
