Sample,Cell_no,Cu_conc,Pb_conc,Zn_conc,Location,Metal,Salt,Block,Cu_in_nom,Pb_in_nom,Zn_in_nom,Cu_in_meas,Pb_in_meas,Zn_in_meas
IBN2-21,21,15,10,68,Inflow,No,Low,y,4,10,2,4,10,8
IBN3-21,21,18,10,36,Inflow,No,Low,z,4,10,2,4,10,8
DAN1-22,22,4,10,2,Drain,No,High,x,4,10,2,4,10,8
DAN2-22,22,4,10,2,Drain,No,High,y,4,10,2,4,10,8
DAN3-22,22,4,10,2,Drain,No,High,z,4,10,2,4,10,8
IAN1-22,22,4,10,2,Inflow,No,High,x,4,10,2,4,10,8
IAN2-22,22,4,10,2,Inflow,No,High,y,4,10,2,4,10,8
IAN3-22,22,4,10,2,Inflow,No,High,z,4,10,2,4,10,8
DBN1-22,22,4,10,2,Drain,No,Low,x,4,10,2,4,10,8
DBN2-22,22,4,10,2,Drain,No,Low,y,4,10,2,4,10,8
DBN3-22,22,4,10,2,Drain,No,Low,z,4,10,2,4,10,8
IBN1-22,22,4,10,2,Inflow,No,Low,x,4,10,2,4,10,8
IBN2-22,22,4,10,2,Inflow,No,Low,y,4,10,2,4,10,8
IBN3-22,22,4,10,2,Inflow,No,Low,z,4,10,2,4,10,8
DAN1-23,23,4,10,2,Drain,No,High,x,4,10,2,4,10,8
DAN2-23,23,4,10,2,Drain,No,High,y,4,10,2,4,10,8
DAN3-23,23,4,10,2,Drain,No,High,z,4,10,2,4,10,8
IAN1-23,23,4,10,2,Inflow,No,High,x,4,10,2,4,10,8
IAN2-23,23,4,10,19,Inflow,No,High,y,4,10,2,4,10,8
IAN3-23,23,4,10,2,Inflow,No,High,z,4,10,2,4,10,8
DBN1-23,23,4,10,2,Drain,No,Low,x,4,10,2,4,10,8
DBN2-23,23,4,10,2,Drain,No,Low,y,4,10,2,4,10,8
DBN3-23,23,4,10,2,Drain,No,Low,z,4,10,2,4,10,8
IBN1-23,23,4,10,2,Inflow,No,Low,x,4,10,2,4,10,8
IBN2-23,23,5,10,2,Inflow,No,Low,y,4,10,2,4,10,8
IBN3-23,23,4,10,2,Inflow,No,Low,z,4,10,2,4,10,8
